Step,TotEng1,TotEng2,TotEng3
0,-108598.46,-108598.46,-108598.46
100,-108598.35,-108518.6,-108540.62
200,-108598.36,-108447.22,-108486.95
300,-108598.37,-108385.06,-108438.85
400,-108598.34,-108325.75,-108390.77
500,-108598.37,-108272.87,-108346.72
600,-108598.36,-108228.4,-108309.01
700,-108598.36,-108186.43,-108272.38
800,-108598.36,-108147.02,-108236.94
900,-108598.36,-108110.88,-108204.48
1000,-108598.36,-108080.69,-108176.16
1100,-108598.36,-108050.11,-108145.26
1200,-108598.36,-108024.45,-108126.61
1300,-108598.36,-108000.33,-108104.63
1400,-108598.36,-107981.25,-108087.79
1500,-108598.36,-107960.6,-108068.59
1600,-108598.36,-107945.69,-108051.34
1700,-108598.36,-107928.67,-108033.27
1800,-108598.36,-107913.37,-108019.59
1900,-108598.36,-107900.59,-108008.36
2000,-108598.36,-107891.03,-107995.35
2100,-108598.36,-107880.95,-107982.29
2200,-108598.36,-107871.67,-107971.22
2300,-108598.36,-107862.63,-107960.76
2400,-108598.36,-107860.68,-107952.08
2500,-108598.36,-107854.05,-107946.52
2600,-108598.36,-107848.39,-107941.01
2700,-108598.36,-107842.13,-107931.98
2800,-108598.36,-107833.37,-107926.48
2900,-108598.36,-107826.25,-107922.68
3000,-108598.36,-107822.08,-107916.93
3100,-108598.36,-107821.69,-107914.08
3200,-108598.36,-107823.23,-107910.64
3300,-108598.36,-107821.02,-107903.87
3400,-108598.36,-107820.9,-107904.2
3500,-108598.36,-107818,-107903.78
3600,-108598.36,-107817.75,-107898.93
3700,-108598.36,-107814.92,-107895.09
3800,-108598.36,-107813.06,-107893.02
3900,-108598.36,-107812.17,-107892.71
4000,-108598.36,-107809.29,-107890.57
4100,-108598.36,-107807.77,-107890.45
4200,-108598.36,-107808.55,-107894.26
4300,-108598.36,-107802.84,-107894.24
4400,-108598.36,-107800.17,-107893.9
4500,-108598.36,-107797.93,-107888.63
4600,-108598.36,-107798.46,-107892.55
4700,-108598.36,-107797.78,-107888.91
4800,-108598.36,-107796.43,-107886.08
4900,-108598.36,-107795.31,-107883.96
5000,-108598.36,-107794.14,-107885.17
5100,-108598.36,-107791.01,-107882.57
5200,-108598.36,-107790.93,-107882.5
5300,-108598.36,-107789.92,-107883.21
5400,-108598.36,-107787.57,-107881.7
5500,-108598.36,-107788.05,-107882.27
5600,-108598.36,-107790.47,-107880.97
5700,-108598.36,-107788.85,-107879.33
5800,-108598.36,-107788.85,-107882.8
5900,-108598.36,-107790.39,-107881.7
6000,-108598.36,-107787.58,-107881.95
6100,-108598.36,-107784.83,-107882.03
6200,-108598.36,-107785.56,-107879.92
6300,-108598.36,-107785.81,-107880.26
6400,-108598.36,-107785.17,-107881.08
6500,-108598.36,-107786.44,-107879.67
6600,-108598.36,-107785.95,-107881.13
6700,-108598.36,-107783.71,-107881.24
6800,-108598.36,-107784,-107879.93
6900,-108598.36,-107785.96,-107880.64
7000,-108598.36,-107788.52,-107884.44
7100,-108598.36,-107792.6,-107885.46
7200,-108598.36,-107793.01,-107888.34
7300,-108598.36,-107790.51,-107887.61
7400,-108598.36,-107791.05,-107885.04
7500,-108598.36,-107792.16,-107883.59
7600,-108598.36,-107789.57,-107880.72
7700,-108598.36,-107787.16,-107886.19
7800,-108598.36,-107788.54,-107888.63
7900,-108598.36,-107786.28,-107888.07
8000,-108598.36,-107786.25,-107888.57
8100,-108598.36,-107783.25,-107886.95
8200,-108598.36,-107776.6,-107885.74
8300,-108598.36,-107774.44,-107885.21
8400,-108598.36,-107771.01,-107883.3
8500,-108598.36,-107769.56,-107883.98
8600,-108598.36,-107771.21,-107882.46
8700,-108598.36,-107772.27,-107882.6
8800,-108598.36,-107774.89,-107884.06
8900,-108598.36,-107775.97,-107883.62
9000,-108598.36,-107775.37,-107882.71
9100,-108598.36,-107778.21,-107880.07
9200,-108598.36,-107772.62,-107882.8
9300,-108598.36,-107770.11,-107882.9
9400,-108598.36,-107772.71,-107881.33
9500,-108598.36,-107778.15,-107874.32
9600,-108598.36,-107780.46,-107869.22
9700,-108598.36,-107785.18,-107869.92
9800,-108598.36,-107783.18,-107871.55
9900,-108598.36,-107781.04,-107872.55
10000,-108598.36,-107780.41,-107876.26
