Step,Press1,Press2,Press3
0,38682.742,38682.742,38682.742
100,39212.517,39488.887,35193.112
200,39083.295,39681.458,31515.418
300,39056.412,39862.794,28279.191
400,38979.063,40081.66,25429.78
500,39088.525,40350.935,22992.539
600,39027.554,40485.378,20677.38
700,39051.589,40698.611,18708.974
800,39068.26,40884.249,16942.077
900,39035.309,41019.949,15298.931
1000,39060.379,41131.636,13842.835
1100,39044.078,41265.51,12551.252
1200,39074.143,41416.924,11386.577
1300,39025.176,41492.818,10288.637
1400,39031.087,41571.921,9318.3812
1500,39040.824,41676.825,8479.5632
1600,39040.578,41771.154,7702.6473
1700,39096.48,41797.382,6961.8344
1800,39031.042,41877.801,6352.8942
1900,39053.02,41922.877,5754.5197
2000,39058.388,41987.184,5269.8284
2100,39038.758,42028.641,4755.9616
2200,39022.772,42087.243,4352.1926
2300,39023.797,42116.888,3923.7577
2400,39056.47,42125.89,3589.0582
2500,39033.086,42176.024,3228.3555
2600,39114.439,42167.949,2985.201
2700,39010.88,42228.254,2732.7585
2800,39057.884,42243.366,2459.3546
2900,39051.153,42262.096,2231.6015
3000,39020.256,42298.499,2056.4476
3100,39062.707,42293.006,1849.2644
3200,39077.402,42260.904,1694.6787
3300,39016.509,42312.282,1545.4097
3400,39069.107,42294.629,1398.6999
3500,39047.961,42302.488,1234.4422
3600,39063.505,42312.239,1151.1777
3700,39032.362,42328.034,1051.4973
3800,39068.813,42329.533,953.77649
3900,39003.055,42342.44,885.12118
4000,39034.176,42363.082,777.72825
4100,39057.413,42336.909,686.41767
4200,39024.39,42344.77,637.51541
4300,39058.547,42375.191,586.36977
4400,39044.912,42398.256,520.55489
4500,39096.388,42372.272,493.4422
4600,39027.125,42418.887,378.44191
4700,39052.979,42374.266,393.3442
4800,39054.008,42434.198,396.67375
4900,39044.457,42425.085,345.78625
5000,39075.882,42393.081,297.07515
5100,39014.656,42456.929,253.60815
5200,39102.334,42403.72,254.64962
5300,38985.419,42419.953,208.47847
5400,39105.331,42459.629,200.73816
5500,39027.661,42448.222,219.17369
5600,39042.893,42424.796,166.35321
5700,39067.328,42439.062,202.60073
5800,39076.024,42456.842,154.54848
5900,39062.904,42439.294,184.20562
6000,39051.018,42446.997,105.50426
6100,39055.269,42491.812,96.534739
6200,39036.645,42451.46,108.76503
6300,39089.752,42454.155,123.66102
6400,38996.794,42485.264,63.553338
6500,39029.825,42426.93,53.875191
6600,39052.693,42482.073,86.358417
6700,39083.155,42464.717,24.20952
6800,39062.928,42471.191,22.08416
6900,39023.697,42482.105,22.962522
7000,39085.432,42433.721,14.018961
7100,39021.862,42444.696,23.73707
7200,39086.969,42399.13,10.595975
7300,39035.289,42464.121,-4.8270023
7400,39091.135,42463.329,3.5347387
7500,39032.688,42440.888,48.327808
7600,39022.071,42480.502,19.625583
7700,39065.792,42475.075,16.226665
7800,39048.806,42474.419,-29.936754
7900,39051.478,42467.811,-12.112115
8000,39054.821,42449.688,-30.229665
8100,39041.249,42464.832,22.763911
8200,39072.134,42506.009,3.6106852
8300,38988.839,42504.059,5.0518818
8400,39055.052,42508.859,4.7395931
8500,39070.907,42529.783,29.940224
8600,39077.397,42513.628,17.832556
8700,39040.003,42552.331,-10.366383
8800,39028.319,42491.57,-9.9817043
8900,39042.432,42476.849,50.343153
9000,39072.356,42465.246,26.684906
9100,39034.068,42489.61,37.930794
9200,39097.066,42503.952,20.921164
9300,39065.463,42519.358,-1.0750055
9400,39034.947,42526.883,49.3548
9500,39059.096,42492.776,32.039055
9600,39055.875,42448.988,20.594881
9700,39066.259,42450.058,35.713219
9800,39074.992,42466.698,24.391472
9900,39039.968,42474.172,25.436978
10000,39077.147,42488.635,7.8183285
