Step,Temp1,Temp2,Temp3
0,200,200,200
100,104.53347,113.97418,113.90516
200,95.485058,114.46466,113.90994
300,106.27637,130.72613,130.67029
400,90.921337,128.09278,127.39488
500,104.5335,142.94016,141.86659
600,99.231145,145.00982,144.72361
700,101.6499,152.20413,150.93044
800,103.19913,156.46311,156.1842
900,99.521734,160.07906,158.97783
1000,102.85594,165.30381,164.1246
1100,100.66103,168.21645,167.33536
1200,100.45811,170.8022,169.7556
1300,100.94908,175.42062,172.75757
1400,100.70255,177.19495,174.77628
1500,101.88741,179.23576,177.43988
1600,100.9438,180.69389,179.77682
1700,99.757024,183.67634,182.73527
1800,102.36512,185.38416,184.27102
1900,100.82301,187.21509,185.14885
2000,101.52947,187.83503,186.12472
2100,101.67955,189.61458,187.29567
2200,100.6907,190.18754,188.24622
2300,102.11152,192.49582,190.91518
2400,101.01827,191.6834,191.03173
2500,99.596175,191.55,192.34522
2600,99.423768,193.13718,192.00122
2700,101.7507,194.35753,193.69306
2800,100.91119,194.69191,194.00566
2900,99.742924,195.89393,194.64018
3000,98.748252,196.82015,195.01486
3100,98.267926,196.32582,196.50245
3200,101.32208,197.63207,196.11042
3300,103.00466,195.52409,197.05821
3400,100.32653,197.45175,196.4206
3500,100.71425,197.07494,196.88756
3600,100.98633,196.87852,197.15843
3700,100.13881,197.45183,198.34616
3800,99.327297,197.49349,197.25051
3900,101.96785,198.41471,197.14503
4000,100.89808,197.57814,197.47826
4100,101.86101,197.55869,198.67989
4200,102.68798,198.47734,197.52817
4300,99.43442,198.67977,197.76272
4400,100.47321,198.21994,197.74313
4500,99.039106,200.01234,198.28303
4600,100.33474,198.41889,198.57968
4700,101.27092,201.06805,198.68284
4800,98.488949,198.54713,199.923
4900,100.82826,199.09207,198.55143
5000,100.55554,200.01238,200.28566
5100,99.834468,198.31368,200.62757
5200,101.86971,200.4131,199.37585
5300,101.68242,200.32709,199.01244
5400,100.29199,200.04307,199.01927
5500,100.9816,200.73732,198.58399
5600,99.485445,200.95853,200.64047
5700,100.48929,200.97314,199.06589
5800,101.64973,199.9699,198.69812
5900,102.63868,199.82395,198.60858
6000,101.73824,200.73707,201.20682
6100,100.74951,200.00411,200.24132
6200,101.04744,202.47785,199.63656
6300,99.700426,200.71835,198.57562
6400,103.76188,200.61602,198.89749
6500,102.43148,201.39015,200.13515
6600,101.84341,199.83197,199.79135
6700,100.6885,200.78343,199.90232
6800,99.247025,200.49018,200.75061
6900,100.66112,200.3279,199.51055
7000,102.23354,200.68907,199.36126
7100,102.51064,199.49307,198.00553
7200,101.3933,200.83234,199.01629
7300,101.66677,199.22131,200.0751
7400,98.414099,199.95216,199.86652
7500,101.70242,200.52654,198.58973
7600,102.19495,199.82245,199.17395
7700,101.46514,200.22327,198.42305
7800,100.93967,200.13584,199.00807
7900,100.92923,199.75019,199.08474
8000,102.97562,201.13492,199.31439
8100,102.52368,200.80525,199.1737
8200,100.72448,202.28149,199.25209
8300,102.61619,202.63897,199.49905
8400,100.87671,202.61629,199.5514
8500,102.4211,202.87575,198.22155
8600,102.92719,202.41443,199.98687
8700,101.86312,201.95755,201.32914
8800,103.12037,202.02254,199.07598
8900,101.3607,202.42497,199.8458
9000,99.852932,202.61911,199.18614
9100,103.24645,201.41714,199.18216
9200,100.47018,203.4348,199.13522
9300,100.9139,203.53079,199.56012
9400,102.50104,202.65164,198.85343
9500,101.48977,203.13422,200.01541
9600,99.956689,202.39022,201.23721
9700,100.20809,200.26531,201.25735
9800,101.12478,201.82086,201.41174
9900,100.21,202.15894,201.12656
10000,100.47063,201.96952,198.90305
