Step,Press
0,38682.742
100,39212.517
200,39083.295
300,39056.412
400,38979.063
500,39088.525
600,39027.554
700,39051.589
800,39068.26
900,39035.309
1000,39060.379
1100,39044.078
1200,39074.143
1300,39025.176
1400,39031.087
1500,39040.824
1600,39040.578
1700,39096.48
1800,39031.042
1900,39053.02
2000,39058.388
2100,39038.758
2200,39022.772
2300,39023.797
2400,39056.47
2500,39033.086
2600,39114.439
2700,39010.88
2800,39057.884
2900,39051.153
3000,39020.256
3100,39062.707
3200,39077.402
3300,39016.509
3400,39069.107
3500,39047.961
3600,39063.505
3700,39032.362
3800,39068.813
3900,39003.055
4000,39034.176
4100,39057.413
4200,39024.39
4300,39058.547
4400,39044.912
4500,39096.388
4600,39027.125
4700,39052.979
4800,39054.008
4900,39044.457
5000,39075.882
5100,39014.656
5200,39102.334
5300,38985.419
5400,39105.331
5500,39027.661
5600,39042.893
5700,39067.328
5800,39076.024
5900,39062.904
6000,39051.018
6100,39055.269
6200,39036.645
6300,39089.752
6400,38996.794
6500,39029.825
6600,39052.693
6700,39083.155
6800,39062.928
6900,39023.697
7000,39085.432
7100,39021.862
7200,39086.969
7300,39035.289
7400,39091.135
7500,39032.688
7600,39022.071
7700,39065.792
7800,39048.806
7900,39051.478
8000,39054.821
8100,39041.249
8200,39072.134
8300,38988.839
8400,39055.052
8500,39070.907
8600,39077.397
8700,39040.003
8800,39028.319
8900,39042.432
9000,39072.356
9100,39034.068
9200,39097.066
9300,39065.463
9400,39034.947
9500,39059.096
9600,39055.875
9700,39066.259
9800,39074.992
9900,39039.968
10000,39077.147
