Step,Temp
0,200
100,104.53347
200,95.485058
300,106.27637
400,90.921337
500,104.5335
600,99.231145
700,101.6499
800,103.19913
900,99.521734
1000,102.85594
1100,100.66103
1200,100.45811
1300,100.94908
1400,100.70255
1500,101.88741
1600,100.9438
1700,99.757024
1800,102.36512
1900,100.82301
2000,101.52947
2100,101.67955
2200,100.6907
2300,102.11152
2400,101.01827
2500,99.596175
2600,99.423768
2700,101.7507
2800,100.91119
2900,99.742924
3000,98.748252
3100,98.267926
3200,101.32208
3300,103.00466
3400,100.32653
3500,100.71425
3600,100.98633
3700,100.13881
3800,99.327297
3900,101.96785
4000,100.89808
4100,101.86101
4200,102.68798
4300,99.43442
4400,100.47321
4500,99.039106
4600,100.33474
4700,101.27092
4800,98.488949
4900,100.82826
5000,100.55554
5100,99.834468
5200,101.86971
5300,101.68242
5400,100.29199
5500,100.9816
5600,99.485445
5700,100.48929
5800,101.64973
5900,102.63868
6000,101.73824
6100,100.74951
6200,101.04744
6300,99.700426
6400,103.76188
6500,102.43148
6600,101.84341
6700,100.6885
6800,99.247025
6900,100.66112
7000,102.23354
7100,102.51064
7200,101.3933
7300,101.66677
7400,98.414099
7500,101.70242
7600,102.19495
7700,101.46514
7800,100.93967
7900,100.92923
8000,102.97562
8100,102.52368
8200,100.72448
8300,102.61619
8400,100.87671
8500,102.4211
8600,102.92719
8700,101.86312
8800,103.12037
8900,101.3607
9000,99.852932
9100,103.24645
9200,100.47018
9300,100.9139
9400,102.50104
9500,101.48977
9600,99.956689
9700,100.20809
9800,101.12478
9900,100.21
10000,100.47063
