Step,TotEng
0,-108598.46
100,-108518.6
200,-108447.22
300,-108385.06
400,-108325.75
500,-108272.87
600,-108228.4
700,-108186.43
800,-108147.02
900,-108110.88
1000,-108080.69
1100,-108050.11
1200,-108024.45
1300,-108000.33
1400,-107981.25
1500,-107960.6
1600,-107945.69
1700,-107928.67
1800,-107913.37
1900,-107900.59
2000,-107891.03
2100,-107880.95
2200,-107871.67
2300,-107862.63
2400,-107860.68
2500,-107854.05
2600,-107848.39
2700,-107842.13
2800,-107833.37
2900,-107826.25
3000,-107822.08
3100,-107821.69
3200,-107823.23
3300,-107821.02
3400,-107820.9
3500,-107818
3600,-107817.75
3700,-107814.92
3800,-107813.06
3900,-107812.17
4000,-107809.29
4100,-107807.77
4200,-107808.55
4300,-107802.84
4400,-107800.17
4500,-107797.93
4600,-107798.46
4700,-107797.78
4800,-107796.43
4900,-107795.31
5000,-107794.14
5100,-107791.01
5200,-107790.93
5300,-107789.92
5400,-107787.57
5500,-107788.05
5600,-107790.47
5700,-107788.85
5800,-107788.85
5900,-107790.39
6000,-107787.58
6100,-107784.83
6200,-107785.56
6300,-107785.81
6400,-107785.17
6500,-107786.44
6600,-107785.95
6700,-107783.71
6800,-107784
6900,-107785.96
7000,-107788.52
7100,-107792.6
7200,-107793.01
7300,-107790.51
7400,-107791.05
7500,-107792.16
7600,-107789.57
7700,-107787.16
7800,-107788.54
7900,-107786.28
8000,-107786.25
8100,-107783.25
8200,-107776.6
8300,-107774.44
8400,-107771.01
8500,-107769.56
8600,-107771.21
8700,-107772.27
8800,-107774.89
8900,-107775.97
9000,-107775.37
9100,-107778.21
9200,-107772.62
9300,-107770.11
9400,-107772.71
9500,-107778.15
9600,-107780.46
9700,-107785.18
9800,-107783.18
9900,-107781.04
10000,-107780.41
