Step,Press
0,38682.742
100,39488.887
200,39681.458
300,39862.794
400,40081.66
500,40350.935
600,40485.378
700,40698.611
800,40884.249
900,41019.949
1000,41131.636
1100,41265.51
1200,41416.924
1300,41492.818
1400,41571.921
1500,41676.825
1600,41771.154
1700,41797.382
1800,41877.801
1900,41922.877
2000,41987.184
2100,42028.641
2200,42087.243
2300,42116.888
2400,42125.89
2500,42176.024
2600,42167.949
2700,42228.254
2800,42243.366
2900,42262.096
3000,42298.499
3100,42293.006
3200,42260.904
3300,42312.282
3400,42294.629
3500,42302.488
3600,42312.239
3700,42328.034
3800,42329.533
3900,42342.44
4000,42363.082
4100,42336.909
4200,42344.77
4300,42375.191
4400,42398.256
4500,42372.272
4600,42418.887
4700,42374.266
4800,42434.198
4900,42425.085
5000,42393.081
5100,42456.929
5200,42403.72
5300,42419.953
5400,42459.629
5500,42448.222
5600,42424.796
5700,42439.062
5800,42456.842
5900,42439.294
6000,42446.997
6100,42491.812
6200,42451.46
6300,42454.155
6400,42485.264
6500,42426.93
6600,42482.073
6700,42464.717
6800,42471.191
6900,42482.105
7000,42433.721
7100,42444.696
7200,42399.13
7300,42464.121
7400,42463.329
7500,42440.888
7600,42480.502
7700,42475.075
7800,42474.419
7900,42467.811
8000,42449.688
8100,42464.832
8200,42506.009
8300,42504.059
8400,42508.859
8500,42529.783
8600,42513.628
8700,42552.331
8800,42491.57
8900,42476.849
9000,42465.246
9100,42489.61
9200,42503.952
9300,42519.358
9400,42526.883
9500,42492.776
9600,42448.988
9700,42450.058
9800,42466.698
9900,42474.172
10000,42488.635
