Step,Temp
0,200
100,113.97418
200,114.46466
300,130.72613
400,128.09278
500,142.94016
600,145.00982
700,152.20413
800,156.46311
900,160.07906
1000,165.30381
1100,168.21645
1200,170.8022
1300,175.42062
1400,177.19495
1500,179.23576
1600,180.69389
1700,183.67634
1800,185.38416
1900,187.21509
2000,187.83503
2100,189.61458
2200,190.18754
2300,192.49582
2400,191.6834
2500,191.55
2600,193.13718
2700,194.35753
2800,194.69191
2900,195.89393
3000,196.82015
3100,196.32582
3200,197.63207
3300,195.52409
3400,197.45175
3500,197.07494
3600,196.87852
3700,197.45183
3800,197.49349
3900,198.41471
4000,197.57814
4100,197.55869
4200,198.47734
4300,198.67977
4400,198.21994
4500,200.01234
4600,198.41889
4700,201.06805
4800,198.54713
4900,199.09207
5000,200.01238
5100,198.31368
5200,200.4131
5300,200.32709
5400,200.04307
5500,200.73732
5600,200.95853
5700,200.97314
5800,199.9699
5900,199.82395
6000,200.73707
6100,200.00411
6200,202.47785
6300,200.71835
6400,200.61602
6500,201.39015
6600,199.83197
6700,200.78343
6800,200.49018
6900,200.3279
7000,200.68907
7100,199.49307
7200,200.83234
7300,199.22131
7400,199.95216
7500,200.52654
7600,199.82245
7700,200.22327
7800,200.13584
7900,199.75019
8000,201.13492
8100,200.80525
8200,202.28149
8300,202.63897
8400,202.61629
8500,202.87575
8600,202.41443
8700,201.95755
8800,202.02254
8900,202.42497
9000,202.61911
9100,201.41714
9200,203.4348
9300,203.53079
9400,202.65164
9500,203.13422
9600,202.39022
9700,200.26531
9800,201.82086
9900,202.15894
10000,201.96952
