Step,TotEng
0,-108598.46
100,-108540.62
200,-108486.95
300,-108438.85
400,-108390.77
500,-108346.72
600,-108309.01
700,-108272.38
800,-108236.94
900,-108204.48
1000,-108176.16
1100,-108145.26
1200,-108126.61
1300,-108104.63
1400,-108087.79
1500,-108068.59
1600,-108051.34
1700,-108033.27
1800,-108019.59
1900,-108008.36
2000,-107995.35
2100,-107982.29
2200,-107971.22
2300,-107960.76
2400,-107952.08
2500,-107946.52
2600,-107941.01
2700,-107931.98
2800,-107926.48
2900,-107922.68
3000,-107916.93
3100,-107914.08
3200,-107910.64
3300,-107903.87
3400,-107904.2
3500,-107903.78
3600,-107898.93
3700,-107895.09
3800,-107893.02
3900,-107892.71
4000,-107890.57
4100,-107890.45
4200,-107894.26
4300,-107894.24
4400,-107893.9
4500,-107888.63
4600,-107892.55
4700,-107888.91
4800,-107886.08
4900,-107883.96
5000,-107885.17
5100,-107882.57
5200,-107882.5
5300,-107883.21
5400,-107881.7
5500,-107882.27
5600,-107880.97
5700,-107879.33
5800,-107882.8
5900,-107881.7
6000,-107881.95
6100,-107882.03
6200,-107879.92
6300,-107880.26
6400,-107881.08
6500,-107879.67
6600,-107881.13
6700,-107881.24
6800,-107879.93
6900,-107880.64
7000,-107884.44
7100,-107885.46
7200,-107888.34
7300,-107887.61
7400,-107885.04
7500,-107883.59
7600,-107880.72
7700,-107886.19
7800,-107888.63
7900,-107888.07
8000,-107888.57
8100,-107886.95
8200,-107885.74
8300,-107885.21
8400,-107883.3
8500,-107883.98
8600,-107882.46
8700,-107882.6
8800,-107884.06
8900,-107883.62
9000,-107882.71
9100,-107880.07
9200,-107882.8
9300,-107882.9
9400,-107881.33
9500,-107874.32
9600,-107869.22
9700,-107869.92
9800,-107871.55
9900,-107872.55
10000,-107876.26
