Step,Press
0,38682.742
100,35193.112
200,31515.418
300,28279.191
400,25429.78
500,22992.539
600,20677.38
700,18708.974
800,16942.077
900,15298.931
1000,13842.835
1100,12551.252
1200,11386.577
1300,10288.637
1400,9318.3812
1500,8479.5632
1600,7702.6473
1700,6961.8344
1800,6352.8942
1900,5754.5197
2000,5269.8284
2100,4755.9616
2200,4352.1926
2300,3923.7577
2400,3589.0582
2500,3228.3555
2600,2985.201
2700,2732.7585
2800,2459.3546
2900,2231.6015
3000,2056.4476
3100,1849.2644
3200,1694.6787
3300,1545.4097
3400,1398.6999
3500,1234.4422
3600,1151.1777
3700,1051.4973
3800,953.77649
3900,885.12118
4000,777.72825
4100,686.41767
4200,637.51541
4300,586.36977
4400,520.55489
4500,493.4422
4600,378.44191
4700,393.3442
4800,396.67375
4900,345.78625
5000,297.07515
5100,253.60815
5200,254.64962
5300,208.47847
5400,200.73816
5500,219.17369
5600,166.35321
5700,202.60073
5800,154.54848
5900,184.20562
6000,105.50426
6100,96.534739
6200,108.76503
6300,123.66102
6400,63.553338
6500,53.875191
6600,86.358417
6700,24.20952
6800,22.08416
6900,22.962522
7000,14.018961
7100,23.73707
7200,10.595975
7300,-4.8270023
7400,3.5347387
7500,48.327808
7600,19.625583
7700,16.226665
7800,-29.936754
7900,-12.112115
8000,-30.229665
8100,22.763911
8200,3.6106852
8300,5.0518818
8400,4.7395931
8500,29.940224
8600,17.832556
8700,-10.366383
8800,-9.9817043
8900,50.343153
9000,26.684906
9100,37.930794
9200,20.921164
9300,-1.0750055
9400,49.3548
9500,32.039055
9600,20.594881
9700,35.713219
9800,24.391472
9900,25.436978
10000,7.8183285
