Step,Temp
0,200
100,113.90516
200,113.90994
300,130.67029
400,127.39488
500,141.86659
600,144.72361
700,150.93044
800,156.1842
900,158.97783
1000,164.1246
1100,167.33536
1200,169.7556
1300,172.75757
1400,174.77628
1500,177.43988
1600,179.77682
1700,182.73527
1800,184.27102
1900,185.14885
2000,186.12472
2100,187.29567
2200,188.24622
2300,190.91518
2400,191.03173
2500,192.34522
2600,192.00122
2700,193.69306
2800,194.00566
2900,194.64018
3000,195.01486
3100,196.50245
3200,196.11042
3300,197.05821
3400,196.4206
3500,196.88756
3600,197.15843
3700,198.34616
3800,197.25051
3900,197.14503
4000,197.47826
4100,198.67989
4200,197.52817
4300,197.76272
4400,197.74313
4500,198.28303
4600,198.57968
4700,198.68284
4800,199.923
4900,198.55143
5000,200.28566
5100,200.62757
5200,199.37585
5300,199.01244
5400,199.01927
5500,198.58399
5600,200.64047
5700,199.06589
5800,198.69812
5900,198.60858
6000,201.20682
6100,200.24132
6200,199.63656
6300,198.57562
6400,198.89749
6500,200.13515
6600,199.79135
6700,199.90232
6800,200.75061
6900,199.51055
7000,199.36126
7100,198.00553
7200,199.01629
7300,200.0751
7400,199.86652
7500,198.58973
7600,199.17395
7700,198.42305
7800,199.00807
7900,199.08474
8000,199.31439
8100,199.1737
8200,199.25209
8300,199.49905
8400,199.5514
8500,198.22155
8600,199.98687
8700,201.32914
8800,199.07598
8900,199.8458
9000,199.18614
9100,199.18216
9200,199.13522
9300,199.56012
9400,198.85343
9500,200.01541
9600,201.23721
9700,201.25735
9800,201.41174
9900,201.12656
10000,198.90305
